DeptCode,DeptName,DeptNameC,DepartmentGroup,ShortName,DeptUnit,Division,AppraisalPeriod,DepartmentCode,TrainingCode,TrainingTitle,CompetencyType,Active,staffLevel
91,ACI Flour Distribution,ACI PURE FLOUR - DISTRIBUTION,ACI Pure Flour Factory,Flour Distribution,Consumer Brands,Consumer Brands,2025-2026,91,3316,Strategic Distribution Network Design and Optimization,Skill,Y,Top
64,ACI Flour Institution,ACI Pure Flour - Institution,ACI Pure Flour,Flour FF Institution,Consumer Brands,Consumer Brands,2025-2026,64,3333,Strategic Growth Mindset for Sales,Behavior,Y,Mid
64,ACI Flour Institution,ACI Pure Flour - Institution,ACI Pure Flour,Flour FF Institution,Consumer Brands,Consumer Brands,2025-2026,64,3217,Effective Supervisory Management,Skill,Y,Mid
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3330,Training of Trainer (TOT) for Marketers,Knowledge,Y,Mid
265,ACI Electronics Service,,ACI Mobile,Mobile Service,Consumer Brands,Consumer Brands,2025-2026,265,3312,Training of Trainer (TOT) for Sales Admin professionals,Skill,Y,Mid
91,ACI Flour Distribution,ACI PURE FLOUR - DISTRIBUTION,ACI Pure Flour Factory,Flour Distribution,Consumer Brands,Consumer Brands,2025-2026,91,3317,Turning Customer Complaints into Our Opportunities,Skill,Y,Mid
68,ACI Foods Export,ACI FOODS EXPORT ,ACI Foods,Foods Export,Consumer Brands,Consumer Brands,2025-2026,68,3367,Understanding Supplier Psychology and Insight,Behavior,Y,Top
64,ACI Flour Institution,ACI Pure Flour - Institution,ACI Pure Flour,Flour FF Institution,Consumer Brands,Consumer Brands,2025-2026,64,3335,Unlocking the Market Potentials,Skill,Y,Mid
209,ACI Mobile Marketing,ACI Consumer Mobile - Marketing,ACI Mobile,Mobile Marketing,Consumer Brands,Consumer Brands,2025-2026,209,3355,UX/UI Design (Adobe XD and Figma),Skill,Y,Junior
68,ACI Foods Export,ACI FOODS EXPORT ,ACI Foods,Foods Export,Consumer Brands,Consumer Brands,2025-2026,68,3366,Vendor Evaluation,Skill,Y,Top
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3331,Video Marketing Masterclass: Creating Impactful Content,Skill,Y,Mid
